repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
3,3,knn,optimized_action,fixed,0.6086956521739131,0.5930546033944837,
3,3,knn,optimized_action,nested_tuned,0.6086956521739131,0.5930546033944837,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
3,3,mlp,optimized_action,fixed,0.6260869565217392,0.6196103429255334,
3,3,mlp,optimized_action,nested_tuned,0.5739130434782609,0.5394703220790177,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [64, 32]}"
3,3,svm,optimized_full,fixed,0.4,0.4042179819490744,
3,3,svm,optimized_full,nested_tuned,0.3565217391304348,0.3684630336518678,"{""model__C"": 0.1, ""model__gamma"": ""auto""}"
3,3,knn,optimized_full,fixed,0.41739130434782606,0.4187348452431893,
3,3,knn,optimized_full,nested_tuned,0.40869565217391307,0.40282418667989073,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
3,3,mlp,optimized_full,fixed,0.4434782608695652,0.4188123764423959,
3,3,mlp,optimized_full,nested_tuned,0.4434782608695652,0.4188123764423959,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
4,3,svm,raw,fixed,0.4260869565217391,0.4305947766703581,
4,3,svm,raw,nested_tuned,0.33043478260869563,0.3203111590838446,"{""model__C"": 5.0, ""model__gamma"": 1.0}"
4,3,knn,raw,fixed,0.3391304347826087,0.33455194231056296,
4,3,knn,raw,nested_tuned,0.3130434782608696,0.31529581529581535,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
4,3,mlp,raw,fixed,0.43478260869565216,0.44046845473628954,
4,3,mlp,raw,nested_tuned,0.41739130434782606,0.41829858371211753,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
4,3,svm,raw_pca11,fixed,0.6608695652173913,0.6624414948398117,
4,3,svm,raw_pca11,nested_tuned,0.6347826086956522,0.636519290330266,"{""model__C"": 5.0, ""model__gamma"": 0.01}"
4,3,knn,raw_pca11,fixed,0.5565217391304348,0.5605874260206961,
4,3,knn,raw_pca11,nested_tuned,0.5739130434782609,0.5821973815200021,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
4,3,mlp,raw_pca11,fixed,0.6086956521739131,0.6107286580970791,
4,3,mlp,raw_pca11,nested_tuned,0.6086956521739131,0.6107286580970791,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
4,3,svm,raw_pca17,fixed,0.6260869565217392,0.6332950349472773,
4,3,svm,raw_pca17,nested_tuned,0.5652173913043478,0.5367144147631953,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
4,3,knn,raw_pca17,fixed,0.6260869565217392,0.6270436841247227,
4,3,knn,raw_pca17,nested_tuned,0.6521739130434783,0.6593261658668635,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
4,3,mlp,raw_pca17,fixed,0.6347826086956522,0.6362234613376506,
4,3,mlp,raw_pca17,nested_tuned,0.6695652173913044,0.6780186612105119,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
4,3,svm,joint_angle,fixed,0.7478260869565218,0.7555120312320623,
4,3,svm,joint_angle,nested_tuned,0.8173913043478261,0.8199657151253746,"{""model__C"": 5.0, ""model__gamma"": 0.01}"
4,3,knn,joint_angle,fixed,0.7478260869565218,0.7530604446236424,
4,3,knn,joint_angle,nested_tuned,0.6782608695652174,0.6817440895207595,"{""model__n_neighbors"": 9, ""model__weights"": ""distance""}"
4,3,mlp,joint_angle,fixed,0.7478260869565218,0.7542476231992361,
4,3,mlp,joint_angle,nested_tuned,0.7478260869565218,0.7538105551832387,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
4,3,svm,corrected,fixed,0.7652173913043478,0.7677137677137676,
