shot,classifier,feature_set,condition,true_label,predicted_label,count
3,mlp,corrected,occluded,orchid_palm,deer_horn,55
3,mlp,corrected,occluded,orchid_palm,flower_pinch,52
3,mlp,corrected,occluded,orchid_palm,orchid_finger,87
3,mlp,corrected,occluded,orchid_palm,orchid_palm,183
3,mlp,corrected,occluded,orchid_palm,prayer_beads,34
3,mlp,corrected,occluded,orchid_palm,three_finger_bent,29
3,mlp,corrected,occluded,prayer_beads,deer_horn,46
3,mlp,corrected,occluded,prayer_beads,flower_pinch,27
3,mlp,corrected,occluded,prayer_beads,orchid_finger,37
3,mlp,corrected,occluded,prayer_beads,orchid_palm,45
3,mlp,corrected,occluded,prayer_beads,prayer_beads,198
3,mlp,corrected,occluded,prayer_beads,three_finger_bent,20
3,mlp,corrected,occluded,three_finger_bent,deer_horn,38
3,mlp,corrected,occluded,three_finger_bent,flower_pinch,32
3,mlp,corrected,occluded,three_finger_bent,orchid_finger,43
3,mlp,corrected,occluded,three_finger_bent,orchid_palm,10
3,mlp,corrected,occluded,three_finger_bent,prayer_beads,2
3,mlp,corrected,occluded,three_finger_bent,three_finger_bent,235
3,mlp,optimized_action,clean,deer_horn,deer_horn,295
3,mlp,optimized_action,clean,deer_horn,flower_pinch,30
3,mlp,optimized_action,clean,deer_horn,orchid_finger,43
3,mlp,optimized_action,clean,deer_horn,orchid_palm,6
3,mlp,optimized_action,clean,deer_horn,prayer_beads,4
3,mlp,optimized_action,clean,deer_horn,three_finger_bent,2
3,mlp,optimized_action,clean,flower_pinch,deer_horn,35
3,mlp,optimized_action,clean,flower_pinch,flower_pinch,228
3,mlp,optimized_action,clean,flower_pinch,orchid_finger,13
3,mlp,optimized_action,clean,flower_pinch,orchid_palm,59
3,mlp,optimized_action,clean,flower_pinch,prayer_beads,11
3,mlp,optimized_action,clean,flower_pinch,three_finger_bent,34
3,mlp,optimized_action,clean,orchid_finger,deer_horn,64
3,mlp,optimized_action,clean,orchid_finger,flower_pinch,15
3,mlp,optimized_action,clean,orchid_finger,orchid_finger,262
3,mlp,optimized_action,clean,orchid_finger,orchid_palm,13
3,mlp,optimized_action,clean,orchid_finger,prayer_beads,4
3,mlp,optimized_action,clean,orchid_finger,three_finger_bent,9
3,mlp,optimized_action,clean,orchid_palm,deer_horn,19
3,mlp,optimized_action,clean,orchid_palm,flower_pinch,43
3,mlp,optimized_action,clean,orchid_palm,orchid_finger,52
3,mlp,optimized_action,clean,orchid_palm,orchid_palm,272
3,mlp,optimized_action,clean,orchid_palm,prayer_beads,41
3,mlp,optimized_action,clean,orchid_palm,three_finger_bent,13
3,mlp,optimized_action,clean,prayer_beads,deer_horn,15
3,mlp,optimized_action,clean,prayer_beads,flower_pinch,8
3,mlp,optimized_action,clean,prayer_beads,orchid_finger,16
3,mlp,optimized_action,clean,prayer_beads,orchid_palm,11
3,mlp,optimized_action,clean,prayer_beads,prayer_beads,313
3,mlp,optimized_action,clean,prayer_beads,three_finger_bent,10
3,mlp,optimized_action,clean,three_finger_bent,deer_horn,6
3,mlp,optimized_action,clean,three_finger_bent,flower_pinch,45
3,mlp,optimized_action,clean,three_finger_bent,orchid_finger,7
