sequence_id,frame_index,joint_index,joint_name,affected,automatic_confidence,oracle_confidence
0078bb88405b,22,3,index_mcp,1,0.6231172767296402,0.0
0078bb88405b,22,4,index_pip,1,0.4707059872086065,0.0
0078bb88405b,22,5,middle_mcp,1,0.21217215523086225,0.0
0078bb88405b,22,6,middle_pip,1,0.7096363272230075,0.0
0078bb88405b,22,7,ring_mcp,1,0.7158125343749433,0.0
0078bb88405b,22,8,ring_pip,1,0.3729031498205588,0.0
0078bb88405b,22,9,little_mcp,1,0.29526827657068866,0.0
0078bb88405b,22,10,little_pip,1,0.4324803041199775,0.0
0078bb88405b,23,0,thumb_cmc,1,0.32538793904195845,0.0
0078bb88405b,23,1,thumb_mcp,1,0.1254991960886052,0.0
0078bb88405b,23,2,thumb_ip,1,0.42073098987420987,0.0
0078bb88405b,23,3,index_mcp,1,0.7399976807742774,0.0
0078bb88405b,23,4,index_pip,1,0.1677223241595582,0.0
0078bb88405b,23,5,middle_mcp,1,0.6036788256886811,0.0
0078bb88405b,23,6,middle_pip,1,0.6141089569041469,0.0
0078bb88405b,23,7,ring_mcp,1,0.4743538771785415,0.0
0078bb88405b,23,8,ring_pip,1,0.409846944370908,0.0
0078bb88405b,23,9,little_mcp,1,0.38530639461470256,0.0
0078bb88405b,23,10,little_pip,1,0.7694283241171267,0.0
0078bb88405b,24,0,thumb_cmc,1,0.061682169192717094,0.0
0078bb88405b,24,1,thumb_mcp,1,0.3315011567323114,0.0
0078bb88405b,24,2,thumb_ip,1,0.0997039953820123,0.0
0078bb88405b,24,3,index_mcp,1,0.04869298824065989,0.0
0078bb88405b,24,4,index_pip,1,0.18875499295657844,0.0
0078bb88405b,24,5,middle_mcp,1,0.27640567799949023,0.0
0078bb88405b,24,6,middle_pip,1,0.6972977415307788,0.0
0078bb88405b,24,7,ring_mcp,1,0.2644989430213617,0.0
0078bb88405b,24,8,ring_pip,1,0.5401295702592324,0.0
0078bb88405b,24,9,little_mcp,1,0.3087588622244251,0.0
0078bb88405b,24,10,little_pip,1,0.2516155515143916,0.0
0078bb88405b,25,0,thumb_cmc,1,0.4070624893492099,0.0
0078bb88405b,25,1,thumb_mcp,1,0.45383701700951645,0.0
0078bb88405b,25,2,thumb_ip,1,0.32613077207502417,0.0
0078bb88405b,25,3,index_mcp,1,0.1285467096961439,0.0
0078bb88405b,25,4,index_pip,1,0.4332974454450571,0.0
0078bb88405b,25,5,middle_mcp,1,0.3206137310806316,0.0
