repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
5,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,150.9731402183925,0.67055380536007,0.16925117533772283,0.3378914475781387,0.49333267421344834,0.34717436195860635,0.6196057083249047,0.1341953054115764,0.40357591901334194,4
5,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,90.90248966912603,0.5808668084627249,0.20774475927386823,0.45335005439880055,0.6668452551608027,0.7417752519346397,0.6196057083249047,0.16257221605853456,0.20184755581858088,7
6,0,right_wrist_actuator,wrist,wrist,wrist,no,no,2.6133967819825736,0.0,0.24930432617821174,0.6132646300462476,0.46172481585973635,0.2557214689352394,0.4125610060725769,0.7135355396469041,-0.3733749331565319,17
6,1,right_p-abd_actuator,little abduction,little,abduction,no,no,37.365188182171835,0.4101063519666601,0.2440792809505069,0.5972726400322775,0.6336449793330918,0.6656178525586701,0.6696430799988536,0.29838567697158774,-0.01753969209870953,9
6,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,14.504397598981205,0.25282931821400323,0.2673351739913982,0.6684505902831038,0.6278193335300271,0.6517282011140485,0.5705589380745536,0.2838426771809494,-0.17278921186790788,13
6,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,119.70317070678543,0.609072217813726,0.24714612841868053,0.6066591605212008,0.47794531494381476,0.29439479137051816,0.5398859478685206,0.14937244365166732,0.29513971068129397,5
6,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,44.08511851487879,0.4381240511946303,0.23682532406179702,0.5750708788856136,0.7738926998484748,1.0,0.6696430799988536,0.21334741550972983,-0.03809224285306059,10
6,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,50.24308293762799,0.46034848179268417,0.23393877582294065,0.5662361896917535,0.6080713044328556,0.6046444527794597,0.842654296218671,0.20730773953670473,0.040366238450547515,8
6,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,1146.515574295958,1.0,0.04893305119966945,0.0,0.3544692300593451,0.0,0.9349057188088147,0.0,0.8597641421786778,1
6,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,16.84440436336589,0.27723019412225397,0.3756619462990523,1.0,0.5542672077073878,0.4763633702913516,0.3797931004270254,1.0,-0.27501144500007013,16
