repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
7,49,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.782608695652174,0.7796515768899489,0.7395980752901217,0.7805387125186164
7,49,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.75,0.7067032801472567,0.7012987012987013,0.7196922961030796
7,49,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.7717391304347826,0.7508928571428571,0.7269643866591295,0.7571467391304347
7,49,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.75,0.7265412443756939,0.7011299435028249,0.7335788710629857
7,49,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.7717391304347826,0.7674521391591284,0.7265005662514156,0.7687382365418245
7,49,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.7934782608695652,0.7666966121974611,0.7531073446327684,0.7747311067990923
7,49,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8369565217391305,0.8215256008359457,0.8049194232400338,0.8261548771069012
7,49,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.7717391304347826,0.7676563774389861,0.7268099547511312,0.768881203337725
7,49,13,1;3;4;5;6;8;9;10;11;12;13;15;16,svm,18,92,0.7608695652173914,0.7615739226106953,0.7133144475920679,0.7613626153927041
7,49,13,1;3;4;5;6;8;9;10;11;12;13;15;16,knn,18,92,0.7608695652173914,0.7336032031976333,0.7141242937853107,0.7417831118035607
7,49,13,1;3;4;5;6;8;9;10;11;12;13;15;16,rf,18,92,0.8152173913043478,0.8023685929692603,0.7787835926449788,0.8062232324697866
7,49,13,1;3;4;5;6;8;9;10;11;12;13;15;16,mlp,18,92,0.7282608695652174,0.7089398952302178,0.6750494489968918,0.7147361875307177
8,50,5,3;6;9;12;15,svm,18,92,0.782608695652174,0.7690215860335438,0.7398925643200451,0.7730977189191327
8,50,5,3;6;9;12;15,knn,18,92,0.7608695652173914,0.7079483016983016,0.7142857142857143,0.7238246807540285
8,50,5,3;6;9;12;15,rf,18,92,0.8152173913043478,0.797099331812699,0.7789711701526286,0.8025347496601936
8,50,5,3;6;9;12;15,mlp,18,92,0.7608695652173914,0.745610972690769,0.7137199434229138,0.7501885504487557
8,50,7,3;6;9;11;12;15;16,svm,18,92,0.8369565217391305,0.8333942877046326,0.804643261608154,0.834462957914982
8,50,7,3;6;9;11;12;15;16,knn,18,92,0.7717391304347826,0.7332632080055888,0.7271957074272803,0.7448059847343469
8,50,7,3;6;9;11;12;15;16,rf,18,92,0.7934782608695652,0.7857341269841269,0.7526881720430108,0.7880573671497584
8,50,7,3;6;9;11;12;15;16,mlp,18,92,0.8043478260869565,0.8009920634920634,0.7655719139297849,0.8019987922705314
8,50,9,3;4;5;6;9;11;12;15;16,svm,18,92,0.782608695652174,0.7855544694254372,0.73908111174135,0.7846707372934582
8,50,9,3;4;5;6;9;11;12;15;16,knn,18,92,0.7717391304347826,0.725068389942313,0.7272727272727273,0.739069612090054
8,50,9,3;4;5;6;9;11;12;15;16,rf,18,92,0.7934782608695652,0.7810870475126582,0.7528280542986425,0.7848044115197303
8,50,9,3;4;5;6;9;11;12;15;16,mlp,18,92,0.75,0.7352564681786693,0.7008764489680521,0.7396795277250685
8,50,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.6847826086956522,0.6991090629800306,0.6214528944381384,0.694811126694717
8,50,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.8152173913043478,0.7909852986572002,0.7790336253178864,0.7982549264513444
8,50,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8260869565217391,0.8161590888940449,0.7917963224893918,0.8191374491823531
8,50,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.782608695652174,0.7703762060379707,0.7397454031117398,0.7740459529222317
8,50,13,1;3;4;5;6;8;9;10;11;12;13;15;16,svm,18,92,0.6847826086956522,0.7039546872880207,0.621345444223673,0.6982030637103102
8,50,13,1;3;4;5;6;8;9;10;11;12;13;15;16,knn,18,92,0.7391304347826086,0.7122162485065711,0.6878710771840543,0.7202905043893822
